15 15
12 8 4 3 10 3 1 4 14 6 7 4 8 5 13 8 6 5 0 6 2 4 5 5 3 2 9 2 11 3 
4 6 14 9 10 5 6 7 5 6 12 3 9 4 13 9 3 6 7 7 0 9 1 1 8 7 11 9 2 9 
14 7 9 4 1 5 2 7 6 9 8 8 7 2 11 3 10 9 4 1 5 9 3 6 13 4 12 2 0 9 
7 3 11 9 6 9 1 2 14 7 0 3 10 5 9 9 3 8 8 3 4 6 13 9 12 6 2 2 5 9 
0 4 4 7 5 9 2 1 11 4 10 8 14 7 9 5 1 8 7 7 13 6 3 7 12 8 6 3 8 9 
10 8 8 1 5 1 14 7 3 3 13 4 7 1 6 4 1 5 12 4 4 8 0 1 9 4 11 4 2 8 
4 9 3 6 2 7 11 5 12 7 10 5 5 5 1 4 13 2 0 1 14 8 6 9 8 7 7 9 9 1 
12 6 7 8 10 4 6 3 1 6 2 5 9 7 0 6 8 7 4 5 3 2 11 4 14 3 13 9 5 1 
8 8 0 2 3 2 4 1 10 6 7 7 14 5 12 9 9 9 2 5 1 9 13 4 6 6 11 7 5 7 
4 6 5 1 3 1 2 3 6 2 14 5 13 4 10 6 11 6 8 2 9 5 0 7 12 2 1 7 7 4 
13 6 14 3 2 2 8 4 3 3 1 2 4 8 9 8 11 6 0 1 7 8 10 7 12 9 6 4 5 3 
12 1 3 1 1 4 5 2 14 6 11 3 13 6 9 4 6 2 4 4 2 4 8 5 0 5 7 5 10 5 
9 1 3 3 8 7 0 2 11 7 5 1 14 4 10 5 2 1 13 5 4 4 1 3 7 4 12 5 6 9 
7 8 3 8 2 8 9 3 5 7 4 5 6 5 14 3 10 2 11 9 13 4 1 9 0 6 12 7 8 2 
3 9 4 1 9 3 13 6 1 5 12 8 8 6 2 3 0 6 7 5 11 4 6 2 14 9 10 4 5 5 
