20 20
9 6 17 1 3 5 10 2 15 1 6 2 13 7 18 6 11 3 2 2 4 7 8 2 5 4 14 3 1 2 12 4 19 4 16 8 7 7 0 9 
9 7 14 2 8 9 17 3 18 2 10 1 4 5 19 3 13 7 2 9 11 6 12 3 3 4 6 3 7 7 15 7 16 8 5 1 0 7 1 7 
2 4 16 5 15 9 7 1 11 9 0 7 13 8 12 5 14 1 3 2 6 6 17 9 8 6 18 4 9 5 19 1 1 8 10 5 4 8 5 7 
19 9 5 1 6 5 0 2 1 3 7 2 12 5 2 9 9 4 15 9 8 8 13 4 14 6 16 1 4 2 3 1 10 4 18 7 11 9 17 1 
6 1 2 8 13 1 19 4 3 9 4 4 16 4 1 8 10 5 12 1 8 2 15 1 0 3 11 5 17 5 7 3 5 3 14 3 18 4 9 1 
1 3 0 7 9 7 12 7 3 3 2 1 5 3 14 1 10 1 8 6 11 7 7 8 19 7 18 3 16 2 4 1 15 5 6 2 13 8 17 1 
7 3 3 2 18 4 8 7 1 8 0 6 10 6 19 3 9 1 14 8 12 6 6 7 13 5 11 1 5 5 16 7 15 6 17 2 2 1 4 6 
7 6 3 9 5 7 8 8 1 3 16 2 15 7 11 5 2 8 14 5 13 2 12 5 19 5 18 5 0 3 4 3 6 7 10 6 9 5 17 2 
9 3 2 3 6 9 12 7 13 1 19 9 11 6 7 6 5 9 18 1 1 2 3 8 10 4 16 3 14 5 0 5 4 5 17 8 15 3 8 9 
16 8 17 4 15 6 7 7 11 2 19 8 10 8 14 2 13 2 4 6 3 4 5 6 1 6 0 5 2 7 18 1 9 5 6 2 8 2 12 9 
5 2 15 4 8 7 3 6 13 1 10 7 4 4 1 4 17 4 14 6 18 9 19 7 2 8 12 9 6 6 0 3 16 8 7 6 11 7 9 1 
14 6 18 1 13 3 10 9 12 7 11 2 9 3 0 1 1 9 6 9 8 1 5 3 17 5 4 8 2 2 3 6 16 1 19 2 15 5 7 6 
0 5 7 1 18 7 8 2 1 4 10 3 12 7 11 7 13 4 5 9 17 3 19 9 16 6 4 5 2 2 14 2 9 6 3 4 6 1 15 1 
9 4 1 5 19 4 7 5 16 4 3 1 17 6 4 8 11 2 5 5 8 7 2 2 6 8 10 1 15 2 18 3 13 8 14 8 12 7 0 1 
4 3 13 1 8 4 6 2 14 1 15 2 2 1 19 7 16 2 0 8 10 4 5 9 18 5 11 8 7 2 1 2 9 4 12 7 17 3 3 8 
2 3 12 3 13 2 1 6 18 9 17 6 16 5 5 3 19 5 0 7 9 2 6 3 7 8 11 3 4 7 10 7 8 4 14 1 3 3 15 9 
6 2 19 9 8 6 12 7 5 8 2 4 15 4 9 4 18 8 4 8 1 1 17 9 0 4 13 4 16 5 11 2 14 3 3 5 7 9 10 1 
1 3 0 3 19 6 16 8 13 3 9 8 17 3 14 9 5 5 10 5 8 4 12 3 15 7 4 2 6 2 11 2 18 1 7 1 3 4 2 7 
18 4 13 9 19 8 15 3 10 4 4 5 17 9 0 8 7 8 3 4 8 5 16 5 5 7 11 6 2 8 6 6 9 4 14 2 1 9 12 4 
0 6 13 5 15 7 9 6 12 7 18 3 11 7 6 1 7 7 2 4 14 4 8 6 17 4 5 2 16 7 10 4 1 5 3 1 4 9 19 2 
